job_id,company,title,min_exp_years,max_exp_years,seniority,required_skills,tech_stack,role_focus,requirements_clarity,red_flags,error,raw_response
1,KPMG India,AI Engineer,4,8,senior,"['Professional software engineering', 'AI/LLM-powered application development', 'AI/LLM-powered application deployment', 'Python programming', 'Prompt engineering', 'RAG implementation', 'Agentic workflows', 'LLM fine-tuning', 'Clean, maintainable, scalable code', 'CI/CD', 'Automated testing', 'Data structures', 'System design', 'RESTful API design', 'Microservices architecture', 'Cloud deployment', 'MLOps', 'LLMOps']","['Python', 'FastAPI', 'Flask', 'Django', 'LangChain', 'LlamaIndex', 'AutoGen', 'OpenAI', 'Anthropic', 'Docker', 'Kubernetes', 'Git', 'Pinecone', 'Chroma', 'Milvus', 'AWS', 'GCP', 'Azure']",LLM application development,clear,[],,
2,Birlasoft,Generative AI Engineer,10,15,senior,"['GenAI solution development', 'ML solution development', 'Agentic architectures', 'LLM-powered app development', 'Prompt engineering', 'Tool/function calling', 'RAG implementation', 'Agentic AI patterns', 'Agent-to-Agent (A2A) workflows', 'Model Context Protocol (MCP) implementation', 'MLOps', 'LLMOps', 'CI/CD for models/prompts', 'Model/prompt versioning', 'Model/prompt monitoring', 'Model/prompt evaluation', 'Hallucination detection', 'Drift detection', 'LLM security', 'LLM guardrails implementation', 'Prompt injection prevention', 'Data leakage protection', 'Output moderation', 'Model fine-tuning', 'Secure API development', 'Microservices development', 'Mentoring', 'SQL RDBMS concepts', 'Vector database concepts', 'REST APIs']","['Python', 'Azure OpenAI', 'Azure ML', 'Azure AI Studio', 'Databricks', 'AI Services', 'LangChain', 'LangGraph', 'Semantic Kernel', 'Docker', 'Neo4j', 'GraphDB', 'Open-source LLMs', 'Local LLMs', 'SQL RDBMS', 'Vector databases']",GenAI solution development and LLMOps,clear,[],,
3,Accelirate Inc.,Generative AI Engineer,3,5,mid,"['LLM experience', 'Model fine-tuning', 'Optimizing LLMs', 'RAG (Retrieval-Augmented Generation)', 'Agentive AI frameworks', 'Building scalable secure AI solutions', 'Autonomous AI agents (building/deploying)', 'Developing/integrating RESTful APIs', 'AI model deployment', 'Inference optimization', 'Prompt engineering', 'Performance tuning', 'Model efficiency', 'Scalability', 'Security compliance']","['GPT', 'DeepSeek', 'LLAMA', 'BERT', 'MistralAI', 'Hugging Face (ecosystem)', 'LangGraph', 'Python', 'C#', 'Claude Code', 'GitHub Copilot', 'PyTorch', 'TensorFlow']","LLM fine-tuning, RAG, and agentive AI development",clear,[],,
4,Ascendion,Generative AI Engineer,4,,senior,"['Generative AI Concepts', 'Coding & Debugging', 'Cloud Deployment expertise', 'Soft skills/Communication', 'Python', 'Prompt Engineering', 'Embeddings Development', 'RAG Pipeline Development', 'Foundation Model Fine-tuning', 'API Integration']","['OpenAI', 'Anthropic', 'Hugging Face', 'Pinecone', 'Weaviate', 'FAISS', 'AWS', 'Azure', 'GCP', 'Git', 'GitHub', 'CI/CD', 'GenAI frameworks']",Generative AI application development,clear,[],,
5,Persistent Systems,GenAI Engineer (Agentic AI),,,,,,,,,could_not_parse,"{
  ""min_exp_years"": 3,
  ""max_exp_years"": 9,
  ""seniority"": ""senior"",
  ""required_skills"": [
    ""Agentic AI system design"",
    ""Agentic AI system development"",
    ""Multi-agent workflow design"",
    ""Planning implementation (AI agents)"",
    ""Memory implementation (AI agents)"",
    ""Tool-use pattern implementation (AI agents)"",
    ""Human-in-the-loop (HITL) design"",
    ""Production-grade GenAI solution development"",
    ""Production-grade GenAI solution deployment"",
    ""Production-grade GenAI solution scaling"",
    ""AI agent integration with enterprise applications"",
    ""AI agent integration with APIs"",
    ""AI agent integration with data sources"",
    ""Secure governed access implementation (AI)"",
    ""RAG implementation"",
    ""Enterprise knowledge grounding"",
    ""Vector search implementation"",
    ""LLMOps (evaluation, monitoring, debugging, optimization)"",
    ""AgentOps (evaluation, monitoring, debugging, optimization)"",
    ""Responsible AI practices"",
    ""AI system security"",
    ""AI system access control"",
    ""AI system governance"",
    ""AI system auditability"",
    ""AI system observability"",
    ""AI system performance tuning"",
    ""AI system cost optimization"",
    ""Mentoring junior engineers"",
    ""Python programming"",
    ""Agentic design patterns"",
    ""Multi-agent orchestration"",
    ""RAG pipelines expertise"",
    ""GenAI/LLM solutions (hands-on experience)""
  focused"",
  ""tech_stack"": [
    ""Python"",
    ""Vector databases"",
    ""Azure"",
    ""AWS"",
    ""Bedrock"",
    ""GCP Vertex AI"",
    ""Open-source LLMs"",
    ""Proprietary LLMs""
  ],
  ""role_focus"": ""Agentic AI and GenAI system development and MLOps"",
  ""requirements_clarity"": ""clear"",
  ""red_flags"": []
}"
6,Lenovo,AI / GenAI Engineer,5,,senior,"['Python proficiency', 'ML model deployment', 'ML model maintenance', 'Multi-agent system development', 'RAG pipeline development', 'Hybrid search', 'Reranking', 'Semantic chunking', 'Model Context Protocol (MCP) familiarity', 'Data pipeline support (cleaning, preprocessing, augmentation)', 'Prompt engineering', 'Token optimization', 'MLOps (CI/CD, model versioning, automated prompt testing)', 'Basic ML concepts', 'RESTful APIs', 'Git']","['LangGraph', 'CrewAI', 'AutoGen', 'Pinecone', 'Weaviate', 'Chroma']",Production-ready multi-agent and RAG AI/ML systems,clear,[],,
7,Finkraft,AI Engineer,4,6,senior,"['AI Engineering', 'LLM integration and deployment', 'RAG pipeline design', 'Agentic system design', 'System design', 'Production AI deployment', 'Python programming', 'Data pipeline management', 'AI testing and monitoring', 'Defining evaluation metrics, feedback loops, and guardrails', 'Microservices architecture']","['LLMs', 'Vector databases', 'Agent frameworks', 'AWS', 'Airflow', 'Selenium', 'Playwright', 'PostgreSQL', 'MongoDB']",Production-grade agentic AI/LLM system design and deployment,clear,[],,
8,Ecolab,AI Engineer,2,4,mid,"['designing intelligent systems', 'implementing intelligent systems', 'deploying intelligent systems', 'solution thinking', 'scalable workflow development', 'cloud-native delivery', 'GenAI application integration']","['LLMs', 'agent orchestration frameworks', 'embedding-based retrieval solutions']",Generative AI application development and integration,clear,[],,
9,Movate,Artificial Intelligence Engineer (GenAI & Agentic AI),1,4,mid,"['Machine Learning', 'Deep Learning', 'Generative AI', 'Agentic AI systems', 'Prompt Engineering', 'RAG', 'AI agents', 'Data preparation', 'Feature engineering', 'Model training', 'Model evaluation', 'Model deployment', 'Model monitoring', 'MLOps', 'LLMOps', 'Workflow orchestration', 'API integration', 'Enterprise systems integration']","['Python', 'LangChain', 'LlamaIndex', 'CrewAI', 'AutoGen', 'Semantic Kernel', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Vector databases', 'Cloud platforms', 'Airflow', 'Prefect']",Generative AI & Agentic AI application development,clear,"['Extensive tech stack and responsibilities for a 1-4 year experience range, potentially indicating breadth over depth or high expectations for junior end.']",,
10,Accenture in India,AI / ML Engineer,5,,senior,"['Machine Learning', 'AI Native Engineering', 'LLM system development', 'Agentic system development', 'RAG pipeline development', 'Vector intelligence', 'Model integration', 'AI Ops', 'Evaluation frameworks', 'Monitoring (drift, hallucination, production systems)', 'Full-stack development', 'Cloud alignment', 'Prototyping', 'Rapid iteration', 'Transformer models', 'Prompt engineering', 'Production deployment']","['pgvector', 'Pinecone', 'Weaviate', 'Milvus', 'Python', 'Node', 'Java', 'Azure', 'AWS', 'GCP', 'CI/CD', 'LangChain', 'LlamaIndex', 'Semantic Kernel', 'LangGraph', 'AutoGen']",End-to-end LLM and agentic system development,vague,"[""Inconsistent experience requirement: 'Minimum 5 Year(s) of Experience Required' vs 'minimum 3 years ML/AI engineering'""]",,
